Date,Open,High,Low,Close,Volume,Adj Close
2010-10-20,435.40,435.85,428.45,435.40,24669500,320.145
2010-10-19,432.35,436.80,427.00,435.70,39034900,320.365
2010-10-18,425.95,433.90,423.15,432.15,27337900,317.755
2010-10-15,430.00,430.00,420.20,425.45,38004000,312.829
2010-10-14,436.70,437.30,428.50,429.70,27609800,315.954
2010-10-13,436.70,439.00,433.70,436.95,29230600,321.284
2010-10-12,432.00,432.00,425.05,429.15,20626000,315.549
2010-10-11,433.00,434.90,430.25,432.35,19645700,317.902
2010-10-08,436.00,436.70,431.35,435.85,16826500,320.476
2010-10-07,434.00,438.95,432.85,437.05,35636300,321.358
2010-10-06,432.20,439.10,429.40,435.55,30207500,320.255
2010-10-05,428.15,434.70,428.10,431.50,30166500,317.277
2010-10-04,441.05,442.00,430.10,430.10,28560100,316.248
2010-10-01,436.00,443.50,432.00,440.50,57641800,323.895
2010-09-30,422.25,436.15,419.80,427.80,77089600,314.557
2010-09-29,410.65,424.45,410.30,421.00,72050100,309.557
2010-09-28,405.00,406.00,397.00,405.15,41353600,297.902
2010-09-27,408.00,408.00,402.75,403.90,31686400,296.983
2010-09-24,403.85,410.00,400.75,404.90,39337400,297.718
2010-09-23,409.00,409.00,401.30,405.10,28312200,297.866
2010-09-22,413.50,415.00,405.80,406.25,33805800,298.711
2010-09-21,410.85,418.75,409.05,414.80,33817100,304.998
2010-09-20,407.65,411.95,407.00,411.35,29267900,302.461
2010-09-17,412.00,414.00,403.05,403.05,49089900,296.358
2010-09-16,408.00,413.15,405.95,408.45,29740300,300.329
2010-09-15,415.05,415.20,404.10,404.10,37259000,297.13
2010-09-14,416.80,418.70,414.25,415.20,23432800,305.292
2010-09-13,414.25,417.35,412.35,416.05,27401900,305.917
2010-09-10,412.00,414.40,408.55,411.65,30158100,302.682
2010-09-09,410.00,417.95,408.75,415.45,27029300,305.476
2010-09-08,404.00,416.65,404.00,412.15,42034900,303.049
2010-09-07,407.00,410.25,403.70,406.80,29854300,299.115
2010-09-06,405.00,409.75,404.00,406.50,23239600,298.895
2010-09-03,394.00,401.70,392.75,401.70,30554100,295.366
2010-09-02,391.00,394.45,385.55,392.60,35409400,288.674
2010-09-01,383.50,391.20,375.75,388.75,40378000,285.844
2010-08-31,377.00,381.15,372.00,380.60,60372800,279.851
2010-08-30,379.65,379.65,379.65,379.65,000,279.152
2010-08-27,379.60,382.60,374.20,379.65,35384100,279.152
2010-08-26,381.00,387.30,380.05,385.60,32836800,283.527
2010-08-25,375.05,378.45,365.50,375.15,51479400,275.844
2010-08-24,385.05,386.35,373.20,377.50,41315500,277.572
2010-08-23,382.00,394.90,382.00,390.60,28722400,287.204
2010-08-20,386.05,389.90,371.55,388.35,50435200,285.549
2010-08-19,399.60,402.00,386.40,386.70,43775200,284.336
2010-08-18,404.90,406.95,396.15,397.60,38057900,292.351
2010-08-17,406.25,409.90,403.65,408.00,36499200,299.998
2010-08-16,416.30,416.65,406.15,409.75,24275100,301.285
2010-08-13,414.80,417.85,401.80,416.40,39011500,306.174
2010-08-12,410.05,413.65,401.10,410.05,37516500,301.505
2010-08-11,415.25,420.00,410.10,411.00,28041900,302.204
2010-08-10,428.20,431.50,417.90,419.35,34319800,308.343
2010-08-09,434.20,436.90,430.00,432.75,34109900,318.196
2010-08-06,429.75,438.25,423.70,425.35,51590000,312.755
2010-08-05,418.00,434.50,418.00,423.40,73604500,311.321
2010-08-04,418.00,425.90,408.60,421.65,63286200,310.035
2010-08-03,412.95,415.65,407.00,415.65,26096800,305.623
2010-08-02,410.00,415.75,405.30,413.10,27643600,303.748
2010-07-30,408.00,413.40,404.30,405.95,35120700,298.491
2010-07-29,407.00,416.25,399.40,413.45,34819900,304.005
2010-07-28,410.05,411.50,396.15,402.50,37538200,295.954
2010-07-27,418.80,421.80,401.50,406.00,71455100,298.527
2010-07-26,409.95,417.65,403.10,416.95,38774400,306.579
2010-07-23,397.00,403.20,393.10,398.60,32564700,293.086
2010-07-22,396.00,406.95,390.10,400.00,42001800,294.116
2010-07-21,390.00,403.00,390.00,399.90,75345300,294.042
2010-07-20,396.00,399.05,381.45,387.45,49163500,284.888
2010-07-19,399.00,401.00,376.85,387.85,80607100,285.182
2010-07-16,424.90,426.45,403.70,407.15,123608200,299.373
2010-07-15,395.95,405.20,392.90,401.75,52938200,295.402
2010-07-14,410.00,411.50,391.00,401.00,103318900,294.851
2010-07-13,409.95,419.85,402.20,410.35,90788000,301.726
2010-07-12,381.55,402.55,378.00,398.95,87478300,293.343
2010-07-09,369.05,375.00,358.20,364.80,50038000,268.233
2010-07-08,366.00,375.00,363.00,367.00,86251600,269.851
2010-07-07,347.40,364.25,346.60,362.05,91138400,266.211
2010-07-06,342.00,349.45,338.00,345.50,62190800,254.042
2010-07-05,324.55,339.90,323.00,333.30,31036000,245.072
2010-07-02,326.00,330.35,320.45,322.00,50124000,236.763
2010-07-01,320.00,338.30,312.65,327.95,103306600,241.138
2010-06-30,312.00,330.85,309.55,318.90,124637900,234.484
2010-06-29,298.50,307.40,298.00,302.90,76436700,222.719
2010-06-28,308.00,317.80,303.00,308.25,66787500,226.653
2010-06-25,324.00,324.80,296.00,304.60,148020700,223.969
2010-06-24,336.20,338.50,324.10,325.25,60456300,239.153
2010-06-23,336.00,340.80,332.30,333.50,49805200,245.219
2010-06-22,340.25,344.65,328.40,334.20,84677200,245.734
2010-06-21,357.05,357.45,338.20,349.50,74837400,256.983
2010-06-18,362.00,379.50,354.40,357.45,159122600,262.829
2010-06-17,360.00,369.80,352.00,359.70,156023100,264.483
2010-06-16,340.00,349.60,333.50,337.00,158440400,247.792
2010-06-15,352.00,362.60,336.75,342.00,157637800,251.469
2010-06-14,388.00,395.00,351.00,355.45,165138300,261.358
2010-06-11,374.00,398.00,367.50,391.90,198519700,288.16
2010-06-10,348.00,380.50,345.15,365.50,318358000,268.748
2010-06-09,402.35,404.50,380.50,391.55,146895700,287.902
2010-06-08,430.00,432.00,396.80,408.90,140900300,300.66
2010-06-07,430.00,448.00,427.55,430.30,87928500,316.395
2010-06-04,450.00,452.75,432.50,433.35,98458900,318.637
2010-06-03,440.00,450.05,431.10,432.25,113817400,317.829
2010-06-02,418.00,431.90,415.10,429.75,123311900,315.99
2010-06-01,440.00,446.35,411.50,430.00,227283300,316.174
2010-05-31,494.80,494.80,494.80,494.80,000,363.821
2010-05-28,517.00,517.00,494.80,494.80,71927600,363.821
2010-05-27,500.00,524.30,498.50,520.80,101160300,382.938
2010-05-26,490.00,500.00,477.65,492.00,84258000,361.762
2010-05-25,475.30,489.35,469.75,485.20,79991100,356.762
2010-05-24,505.00,505.30,486.55,493.00,66166100,362.497
2010-05-21,520.00,522.50,505.20,506.70,94303900,372.571
2010-05-20,528.20,540.00,514.00,528.80,81939100,388.821
2010-05-19,527.70,536.50,522.90,523.50,58246400,384.924
2010-05-18,536.00,540.00,528.60,534.00,41515200,392.644
2010-05-17,537.00,548.00,527.50,529.90,55205000,389.63
2010-05-14,545.20,549.10,530.00,530.20,55687800,389.85
2010-05-13,547.90,549.00,541.20,547.60,29049900,402.644
2010-05-12,552.00,552.00,536.10,541.60,52986200,398.232
2010-05-11,543.50,548.30,536.30,545.50,55833600,401.10
2010-05-10,546.00,556.50,540.70,549.20,90241200,403.821
2010-05-07,552.80,570.00,546.00,553.90,80382700,407.277
2010-05-06,558.00,574.90,557.00,567.00,80320700,416.909
2010-05-05,561.30,574.80,552.50,565.00,139601300,415.438
2010-05-04,631.30,631.30,631.30,631.30,158689400,464.188
2010-05-03,575.50,575.50,575.50,575.50,000,423.159
2010-04-30,574.90,581.00,559.60,575.50,164484600,423.159
2010-04-29,621.00,621.00,578.00,584.20,133392000,429.556
2010-04-28,613.50,630.20,612.20,625.00,53324000,459.556
2010-04-27,637.90,639.60,610.00,610.00,69843400,448.526
2010-04-26,646.00,650.20,626.70,626.80,42117800,460.879
2010-04-23,643.00,643.00,635.70,639.70,23361800,470.364
2010-04-22,648.00,649.50,635.60,636.40,27405400,467.938
2010-04-21,656.00,658.20,647.20,648.20,23183300,476.614
2010-04-20,645.00,655.60,644.00,655.40,28449800,481.908
2010-04-19,638.00,644.40,637.00,642.50,22460400,472.423
2010-04-16,650.90,654.30,640.20,641.80,42403700,471.908
2010-04-15,647.00,653.40,642.20,653.00,29181300,480.144
2010-04-14,640.80,647.90,640.80,643.10,23784100,472.864
2010-04-13,638.10,642.70,636.20,640.70,18213100,471.10
2010-04-12,641.90,643.40,636.10,641.10,15417900,471.394
2010-04-09,641.00,644.90,638.30,641.10,24460700,471.394
2010-04-08,637.10,640.20,635.00,637.10,16748600,468.453
2010-04-07,643.90,645.40,639.60,642.30,31705900,472.276
2010-04-06,633.90,646.30,632.10,646.30,31943300,475.217
2010-04-05,631.30,631.30,631.30,631.30,000,464.188
2010-04-02,631.30,631.30,631.30,631.30,000,464.188
2010-04-01,625.10,631.30,623.40,631.30,26355200,464.188
2010-03-31,625.10,625.90,619.20,623.40,42113900,458.379
2010-03-30,628.80,632.50,623.10,624.00,28399800,458.82
2010-03-29,630.50,633.80,623.80,628.20,26441900,461.908
2010-03-26,632.80,634.70,629.70,631.60,24089400,464.408
2010-03-25,637.20,639.40,633.20,635.00,28204700,466.908
2010-03-24,637.60,639.10,630.40,637.20,26382600,468.526
2010-03-23,631.70,637.30,629.30,634.60,22903300,466.614
2010-03-22,634.50,634.50,624.50,629.80,25596900,463.085
2010-03-19,633.50,640.10,631.70,635.10,69847200,466.982
2010-03-18,628.50,637.80,626.50,633.00,30068500,465.438
2010-03-17,622.90,632.30,621.60,630.70,26783600,463.747
2010-03-16,622.80,624.70,620.00,622.40,21826500,457.644
2010-03-15,620.80,624.50,618.70,619.30,19405900,455.364
2010-03-12,626.00,626.00,618.30,619.90,26265600,455.806
2010-03-11,623.50,624.00,618.40,623.70,20796900,458.60
2010-03-10,618.70,624.90,616.90,624.90,25881600,459.482
2010-03-09,618.00,620.00,614.00,619.60,35711500,455.585
2010-03-08,613.90,618.00,610.40,616.20,23426900,453.085
2010-03-05,575.50,575.50,575.50,575.50,26358500,423.159
2010-03-04,598.50,609.60,598.30,606.70,61804300,446.10
2010-03-03,598.00,607.20,594.80,604.10,64539500,444.188
2010-03-02,598.00,601.50,591.00,600.20,38195600,441.32
2010-03-01,590.00,596.00,582.80,596.00,40624200,438.232
2010-02-26,575.10,580.00,570.20,578.70,41591500,425.512
2010-02-25,573.80,580.10,566.30,567.40,31129400,417.203
2010-02-24,574.00,578.80,572.40,576.30,26434900,423.747
2010-02-23,584.00,584.00,570.30,572.90,31804600,421.247
2010-02-22,584.80,585.40,579.80,581.20,22636800,427.35
2010-02-19,572.90,582.00,572.90,581.30,60138800,427.423
2010-02-18,573.60,578.60,571.90,577.10,21473000,424.335
2010-02-17,584.70,584.70,572.00,572.60,34618100,421.026
2010-02-16,579.30,589.50,575.80,588.20,39597700,426.115
2010-02-15,578.00,581.00,573.70,575.30,16381400,416.769
2010-02-12,578.80,580.60,572.80,573.70,34004600,415.61
2010-02-11,572.00,579.60,569.40,574.60,40893900,416.262
2010-02-10,567.80,573.70,565.50,569.70,35633500,412.713
2010-02-09,560.50,565.50,559.40,563.60,30359800,408.293
2010-02-08,563.90,565.70,555.00,563.00,34640100,407.859
2010-02-05,562.00,565.80,555.10,560.00,50686200,405.685
2010-02-04,631.30,631.30,631.30,631.30,51729000,457.338
2010-02-03,576.90,580.90,572.00,574.30,55692300,416.045
2010-02-02,579.90,579.90,563.60,572.00,117504400,414.379
2010-02-01,585.00,595.00,581.30,594.60,32470400,430.751
2010-01-29,593.20,593.80,585.10,586.90,37352300,425.173
2010-01-28,598.80,599.00,587.00,587.00,52799000,425.245
2010-01-27,596.60,598.80,590.70,594.10,35433300,430.389
2010-01-26,597.00,602.70,594.40,602.00,24091400,436.112
2010-01-25,600.50,607.70,596.90,599.00,34852300,433.939
2010-01-22,608.50,613.50,602.10,605.60,40308600,438.72
2010-01-21,622.70,626.10,609.90,610.30,29138500,442.125
2010-01-20,627.10,631.50,618.40,619.50,30682100,448.79
2010-01-19,629.00,631.80,623.10,629.50,25909700,456.034
2010-01-18,628.90,632.80,625.00,629.00,17346700,455.672
2010-01-15,629.00,631.30,623.60,629.00,69339700,455.672
2010-01-14,632.00,632.70,621.00,628.40,28992900,455.237
2010-01-13,629.00,631.50,623.10,626.60,41391100,453.933
2010-01-12,635.10,639.00,624.10,633.80,36551500,459.149
2010-01-11,627.30,638.30,624.90,635.50,30868800,460.381
2010-01-08,622.10,624.50,615.90,621.70,22458200,450.383
2010-01-07,617.30,626.20,617.10,623.30,30630100,451.542
2010-01-06,619.00,623.00,614.50,619.40,22054700,448.717
2010-01-05,614.80,621.20,609.70,620.10,28352600,449.224
2010-01-04,602.00,613.60,601.80,613.60,17956900,444.515
2010-01-01,600.00,600.00,600.00,600.00,000,434.663
2009-12-31,605.40,605.40,600.00,600.00,5403300,434.663
2009-12-30,602.40,606.20,598.60,601.40,7301700,435.677
2009-12-29,613.30,613.40,604.70,605.00,13430700,438.285
2009-12-28,608.50,608.50,608.50,608.50,000,440.821
2009-12-24,603.00,608.70,603.00,608.50,4780000,440.821
2009-12-23,602.90,605.90,600.70,604.30,13900400,437.778
2009-12-22,592.20,601.20,592.20,597.50,19338900,432.852
2009-12-21,576.80,595.40,576.40,591.10,22584400,428.215
2009-12-18,578.80,587.70,575.20,576.50,80562100,417.639
2009-12-17,577.30,581.00,574.30,574.30,26863900,416.045
2009-12-16,577.80,584.80,573.30,579.10,29807500,419.522
2009-12-15,581.60,582.30,572.20,579.00,23761000,419.45
2009-12-14,577.60,585.00,577.60,581.00,21442400,420.899
2009-12-11,577.10,582.90,574.30,575.20,21055400,416.697
2009-12-10,575.10,580.90,572.40,573.70,26286900,415.61
2009-12-09,579.30,581.10,572.00,576.40,31368400,417.566
2009-12-08,588.60,594.00,580.20,581.10,35295200,420.971
2009-12-07,581.10,592.50,577.50,587.60,32338200,425.68
2009-12-04,581.90,591.20,578.10,584.70,33889500,423.579
2009-12-03,590.30,592.00,579.80,582.40,49543400,421.913
2009-12-02,588.00,588.80,580.30,585.60,21487600,424.231
2009-12-01,580.60,587.90,578.50,586.70,37418700,425.028
2009-11-30,589.90,589.90,574.40,574.60,38977100,416.262
2009-11-27,562.50,588.20,562.50,583.80,26200300,422.927
2009-11-26,588.30,588.30,570.80,574.00,24824600,415.828
2009-11-25,592.00,592.00,584.50,589.70,68195000,427.201
2009-11-24,586.90,591.90,583.00,587.00,47663200,425.245
2009-11-23,582.20,591.50,582.00,588.70,21788300,426.477
2009-11-20,581.20,585.30,575.00,579.00,40754500,419.45
2009-11-19,590.60,591.60,578.00,581.50,30228700,421.261
2009-11-18,592.50,593.90,586.70,589.00,20660100,426.694
2009-11-17,583.70,589.70,582.00,587.50,26296200,425.608
2009-11-16,582.30,592.40,579.30,588.30,22336700,426.187
2009-11-13,580.80,583.00,575.50,581.10,18440800,420.971
2009-11-12,583.00,585.80,576.70,578.40,25946600,419.015
2009-11-11,590.30,592.90,582.60,583.60,28821800,422.782
2009-11-10,596.00,599.30,592.60,593.40,39951200,423.717
2009-11-09,586.00,596.00,584.00,595.10,13221200,424.931
2009-11-06,586.10,587.90,575.00,583.90,28412700,416.933
2009-11-05,578.00,590.70,576.70,587.10,26688200,419.218
2009-11-04,582.40,588.00,576.00,581.40,32478800,415.148
2009-11-03,579.00,583.90,573.30,580.30,32742300,414.363
2009-11-02,571.90,587.60,567.90,584.70,26171800,417.504
2009-10-30,582.10,587.80,568.90,572.30,39913200,408.65
2009-10-29,580.10,588.50,577.00,586.50,44584000,418.79
2009-10-28,589.00,592.20,577.70,584.40,54072000,417.29
2009-10-27,590.90,598.00,584.70,594.40,78829500,424.431
2009-10-26,564.40,576.90,564.40,567.10,29785500,404.937
2009-10-23,572.50,572.80,562.50,565.00,21369200,403.438
2009-10-22,565.00,567.50,558.00,565.00,28938100,403.438
2009-10-21,571.00,576.425,560.40,573.00,34725300,409.15
2009-10-20,579.00,579.00,565.80,569.00,28641800,406.294
2009-10-19,559.00,574.50,559.00,574.20,36971200,410.007
2009-10-16,559.90,569.50,558.40,559.10,50173800,399.225
